iter	Passed	Remaining
0	208	208016
1	209	104727
2	211	70276
3	213	53053
4	214	42720
5	216	35844
6	217	30918
7	219	27211
8	220	24329
9	222	22027
10	223	20135
11	225	18556
12	226	17216
13	228	16081
14	229	15095
15	231	14221
16	232	13438
17	234	12783
18	236	12189
19	236	11612
20	237	11088
21	238	10611
22	239	10174
23	240	9775
24	241	9400
25	241	9050
26	242	8726
27	242	8424
28	243	8144
29	243	7883
30	244	7639
31	244	7410
32	245	7195
33	246	6992
34	246	6800
35	247	6623
36	248	6456
37	248	6295
38	249	6143
39	249	5999
40	250	5864
41	251	5734
42	251	5607
43	252	5487
44	253	5371
45	253	5260
46	254	5154
47	254	5052
48	255	4955
49	255	4860
50	256	4769
51	256	4681
52	257	4596
53	257	4514
54	258	4436
55	258	4360
56	259	4286
57	259	4216
58	260	4147
59	260	4081
60	260	4017
61	261	3956
62	262	3899
63	262	3844
64	263	3790
65	263	3735
66	264	3682
67	264	3628
68	265	3578
69	265	3529
70	266	3482
71	266	3435
72	267	3391
73	267	3347
74	267	3305
75	268	3263
76	268	3223
77	269	3184
78	269	3146
79	270	3108
80	270	3072
81	271	3037
82	271	3002
83	272	2968
84	272	2933
85	273	2901
86	273	2868
87	273	2837
88	274	2807
89	274	2778
90	275	2749
91	275	2721
92	276	2693
93	276	2666
94	277	2640
95	277	2614
96	278	2588
97	278	2563
98	279	2539
99	279	2515
100	280	2492
101	280	2470
102	281	2448
103	281	2427
104	282	2405
105	282	2384
106	283	2363
107	283	2342
108	284	2322
109	284	2302
110	285	2282
111	285	2263
112	285	2244
113	286	2225
114	286	2207
115	287	2188
116	287	2170
117	288	2153
118	288	2135
119	288	2118
120	289	2102
121	289	2085
122	290	2068
123	290	2052
124	290	2036
125	291	2021
126	291	2006
127	292	1990
128	292	1975
129	293	1961
130	293	1947
131	294	1933
132	294	1919
133	294	1906
134	296	1897
135	296	1884
136	297	1871
137	297	1858
138	298	1846
139	298	1833
140	298	1821
141	299	1809
142	299	1797
143	300	1785
144	300	1773
145	301	1762
146	301	1750
147	302	1739
148	302	1728
149	303	1717
150	303	1706
151	304	1696
152	304	1685
153	304	1675
154	305	1664
155	305	1654
156	306	1644
157	306	1634
158	307	1624
159	307	1615
160	308	1605
161	308	1596
162	309	1586
163	309	1577
164	309	1568
165	310	1559
166	310	1550
167	311	1541
168	311	1533
169	312	1525
170	312	1517
171	313	1508
172	313	1500
173	314	1492
174	314	1484
175	315	1476
176	315	1468
177	316	1460
178	316	1452
179	317	1445
180	317	1436
181	317	1428
182	318	1421
183	318	1413
184	319	1406
185	319	1399
186	320	1392
187	320	1385
188	321	1378
189	321	1371
190	322	1364
191	322	1357
192	323	1351
193	323	1344
194	324	1337
195	324	1331
196	325	1324
197	325	1318
198	325	1312
199	326	1306
200	327	1300
201	327	1294
202	328	1287
203	328	1281
204	328	1275
205	329	1269
206	329	1263
207	330	1258
208	330	1252
209	331	1246
210	331	1240
211	332	1235
212	332	1229
213	333	1224
214	333	1218
215	334	1213
216	334	1208
217	335	1202
218	335	1197
219	336	1192
220	336	1186
221	337	1181
222	337	1176
223	338	1171
224	338	1166
225	339	1161
226	339	1156
227	339	1151
228	340	1146
229	341	1141
230	341	1137
231	342	1133
232	342	1128
233	343	1123
234	343	1119
235	344	1114
236	344	1109
237	345	1105
238	345	1100
239	346	1096
240	346	1091
241	347	1087
242	347	1082
243	348	1078
244	348	1073
245	348	1069
246	349	1065
247	349	1061
248	350	1056
249	350	1052
250	351	1048
251	351	1044
252	352	1040
253	352	1036
254	353	1032
255	353	1028
256	354	1024
257	354	1020
258	355	1016
259	355	1012
260	356	1008
261	356	1004
262	357	1000
263	357	997
264	358	993
265	358	989
266	359	985
267	359	982
268	360	978
269	360	974
270	361	971
271	361	967
272	361	963
273	362	960
274	362	956
275	363	953
276	363	949
277	364	946
278	364	942
279	365	939
280	365	935
281	366	932
282	366	929
283	367	925
284	367	922
285	368	918
286	368	915
287	369	912
288	369	909
289	370	906
290	371	903
291	371	900
292	371	897
293	372	894
294	372	891
295	373	888
296	374	885
297	374	882
298	375	879
299	375	876
300	376	873
301	376	870
302	377	867
303	377	864
304	378	861
305	378	858
306	378	855
307	379	852
308	379	849
309	380	846
310	380	843
311	381	840
312	381	838
313	382	835
314	382	832
315	383	829
316	383	827
317	384	825
318	385	823
319	386	821
320	386	818
321	387	816
322	388	813
323	388	810
324	389	808
325	389	805
326	390	802
327	390	800
328	391	797
329	391	795
330	392	792
331	392	789
332	393	787
333	393	784
334	393	782
335	394	779
336	394	776
337	395	774
338	395	771
339	396	769
340	396	766
341	397	764
342	397	761
343	398	760
344	399	757
345	399	755
346	399	752
347	400	750
348	400	747
349	401	745
350	401	742
351	402	740
352	402	738
353	403	735
354	403	733
355	404	731
356	404	728
357	405	726
358	405	724
359	406	722
360	406	719
361	407	717
362	407	715
363	408	712
364	408	710
365	409	708
366	409	706
367	410	704
368	410	702
369	411	699
370	411	697
371	412	695
372	412	693
373	413	691
374	413	689
375	414	687
376	415	686
377	415	684
378	416	682
379	416	680
380	417	677
381	417	675
382	418	673
383	418	671
384	419	669
385	419	667
386	420	665
387	420	663
388	421	661
389	421	659
390	422	657
391	422	655
392	423	653
393	423	651
394	424	649
395	424	647
396	425	645
397	425	643
398	425	641
399	426	639
400	426	637
401	427	635
402	427	633
403	428	632
404	428	630
405	429	628
406	429	626
407	430	624
408	430	622
409	431	620
410	431	618
411	432	616
412	432	615
413	433	613
414	433	611
415	434	609
416	434	607
417	435	605
418	435	604
419	436	602
420	436	600
421	437	598
422	437	597
423	438	595
424	438	593
425	439	591
426	439	590
427	440	588
428	440	586
429	441	584
430	441	583
431	442	581
432	442	579
433	443	577
434	443	576
435	444	574
436	444	572
437	445	571
438	445	569
439	446	567
440	446	566
441	447	564
442	447	562
443	448	561
444	448	559
445	449	557
446	449	556
447	449	554
448	450	552
449	450	551
450	451	549
451	451	547
452	452	546
453	452	544
454	453	543
455	453	541
456	454	539
457	454	538
458	455	536
459	455	535
460	456	533
461	456	532
462	457	530
463	458	529
464	458	527
465	459	526
466	459	524
467	460	523
468	460	521
469	461	520
470	461	518
471	462	517
472	462	515
473	463	514
474	463	512
475	464	511
476	465	509
477	465	508
478	466	506
479	466	505
480	467	503
481	467	502
482	468	500
483	468	499
484	469	498
485	469	496
486	470	495
487	470	493
488	471	492
489	471	490
490	472	489
491	472	488
492	473	486
493	473	485
494	474	483
495	474	482
496	475	480
497	475	479
498	476	478
499	476	476
500	477	475
501	477	473
502	478	472
503	478	471
504	479	469
505	479	468
506	480	467
507	480	465
508	481	464
509	481	462
510	482	461
511	483	460
512	483	459
513	484	457
514	484	456
515	485	455
516	485	453
517	486	452
518	486	451
519	487	449
520	487	448
521	488	447
522	488	445
523	489	444
524	489	443
525	490	441
526	490	440
527	491	439
528	491	437
529	492	436
530	492	435
531	493	433
532	493	432
533	494	431
534	494	430
535	495	428
536	495	427
537	496	426
538	496	424
539	497	423
540	497	422
541	498	421
542	498	419
543	499	418
544	499	417
545	500	415
546	500	414
547	501	413
548	501	412
549	502	410
550	502	409
551	503	408
552	503	407
553	504	405
554	504	404
555	505	403
556	505	402
557	506	400
558	506	399
559	506	398
560	507	397
561	507	395
562	508	394
563	508	393
564	509	392
565	509	390
566	510	389
567	510	388
568	511	387
569	512	386
570	512	385
571	514	384
572	514	383
573	515	382
574	515	381
575	516	379
576	516	378
577	517	377
578	517	376
579	518	375
580	518	373
581	519	372
582	519	371
583	520	370
584	520	369
585	521	368
586	521	366
587	522	365
588	522	364
589	523	363
590	523	362
591	524	361
592	524	359
593	525	358
594	525	357
595	526	356
596	526	355
597	527	354
598	527	353
599	528	352
600	528	351
601	529	350
602	529	348
603	530	347
604	530	346
605	531	345
606	531	344
607	532	343
608	532	342
609	533	340
610	533	339
611	534	338
612	534	337
613	535	336
614	535	335
615	536	334
616	536	333
617	537	332
618	537	330
619	538	329
620	538	328
621	539	327
622	539	326
623	540	325
624	540	324
625	541	323
626	541	322
627	542	321
628	542	320
629	543	319
630	543	317
631	544	316
632	544	315
633	545	314
634	545	313
635	546	312
636	546	311
637	547	310
638	547	309
639	548	308
640	548	307
641	549	306
642	549	305
643	550	304
644	550	303
645	551	302
646	551	301
647	552	300
648	552	299
649	553	298
650	553	296
651	554	296
652	555	294
653	555	293
654	556	292
655	556	291
656	557	290
657	557	289
658	558	289
659	559	288
660	559	287
661	560	286
662	560	285
663	561	284
664	561	283
665	562	282
666	562	281
667	563	280
668	563	279
669	564	278
670	565	277
671	565	276
672	566	275
673	566	274
674	567	273
675	567	272
676	568	271
677	568	270
678	569	269
679	569	268
680	570	267
681	571	266
682	571	265
683	572	264
684	573	263
685	573	262
686	574	261
687	574	260
688	575	259
689	575	258
690	576	257
691	577	256
692	577	255
693	578	255
694	578	254
695	579	253
696	579	252
697	580	251
698	580	250
699	581	249
700	581	248
701	582	247
702	583	246
703	583	245
704	584	244
705	584	243
706	584	242
707	585	241
708	585	240
709	586	239
710	586	238
711	587	237
712	588	236
713	588	235
714	589	234
715	589	233
716	590	232
717	590	231
718	591	230
719	591	230
720	592	229
721	592	228
722	593	227
723	593	226
724	594	225
725	594	224
726	595	223
727	595	222
728	596	221
729	596	220
730	596	219
731	597	218
732	598	217
733	598	217
734	599	216
735	599	215
736	600	214
737	600	213
738	601	212
739	601	211
740	602	210
741	602	209
742	603	208
743	604	207
744	604	206
745	605	206
746	605	205
747	606	204
748	606	203
749	607	202
750	607	201
751	608	200
752	608	199
753	609	198
